MYA	WAD
859.449	10.1451
859.7235	10.1451
859.998	10.145
860.2725	10.1449
860.547	10.1449
860.8216	10.1448
861.0961	10.1447
861.3691	10.0891
861.6436	10.089
861.9181	10.089
862.1926	10.0889
862.4672	10.0888
862.7417	10.0888
863.0162	10.0887
863.2907	10.0886
863.5652	10.0886
863.8397	10.0885
864.1143	10.0884
864.3888	10.0884
864.6618	10.0328
864.9363	10.0327
865.2107	10.0326
865.4853	10.0326
865.7599	10.0325
866.0344	10.0324
866.3089	10.0324
866.5834	10.0323
866.8578	10.0322
867.1325	10.0322
867.407	10.0321
867.6815	10.032
867.956	10.032
868.229	9.9763
868.5034	9.9763
868.7781	9.9762
869.0526	9.9761
869.3271	9.9761
869.6016	9.976
869.8761	9.9759
870.1507	9.9759
870.4252	9.9758
870.6997	9.9757
870.9742	9.9757
871.2487	9.9756
871.5217	9.92
871.7962	9.9199
872.0708	9.9199
872.3453	9.9198
872.6198	9.9197
872.8942	9.9197
873.1688	9.9196
873.4434	9.9195
873.7179	9.9195
873.9924	9.9194
874.2669	9.9193
874.5413	9.9193
874.8159	9.9192
875.0905	9.9191
875.3635	9.8635
875.638	9.8634
875.9125	9.8634
876.187	9.8633
876.4616	9.8632
876.7361	9.8632
877.0106	9.8631
877.2851	9.863
877.5596	9.863
877.8342	9.8629
878.1087	9.8628
878.3832	9.8628
878.6562	9.8072
878.9306	9.8071
879.2052	9.807
879.4797	9.807
879.7543	9.8069
880.0288	9.8068
880.3033	9.8068
880.5777	9.8067
880.8523	9.8066
881.1269	9.8066
881.4014	9.8065
881.6759	9.8064
881.9504	9.8064
882.2234	9.7507
882.4979	9.7507
882.7725	9.7506
883.047	9.7505
883.3215	9.7505
883.596	9.7504
883.8705	9.7503
884.1451	9.7503
884.4196	9.7502
884.6926	9.6945
884.967	9.6945
885.2416	9.6944
885.5161	9.6944
885.7907	9.6943
886.0652	9.6942
886.3397	9.6942
886.6141	9.6941
886.8887	9.694
887.1632	9.694
887.4378	9.6939
887.7123	9.6938
887.9868	9.6938
888.2612	9.6937
888.5343	9.6381
888.8088	9.638
889.0834	9.638
889.3578	9.6379
889.6324	9.6378
889.9069	9.6378
890.1814	9.6377
890.456	9.6376
890.7305	9.6376
891.005	9.6375
891.278	9.5819
891.5525	9.5817
891.827	9.5817
892.1016	9.5817
892.3761	9.5816
892.6505	9.5815
892.9251	9.5815
893.1996	9.5814
893.4742	9.5813
893.7487	9.5813
894.0232	9.5812
894.2977	9.5811
894.5722	9.5811
894.8468	9.581
895.1213	9.5809
895.3958	9.5809
895.6688	9.5253
895.9433	9.5252
896.2178	9.5251
896.4923	9.5251
896.7669	9.525
897.0414	9.5249
897.3159	9.5249
897.5904	9.5248
897.8634	9.4692
898.1379	9.4691
898.4125	9.4689
898.687	9.4689
898.9615	9.4689
899.236	9.4687
899.5105	9.4687
899.7851	9.4687
900.0596	9.4686
900.3341	9.4686
900.6086	9.4685
900.8831	9.4684
901.1577	9.4684
901.4322	9.4683
901.7052	9.4127
901.9797	9.4126
902.2542	9.4126
902.5287	9.4125
902.8032	9.4123
903.0778	9.4123
903.3523	9.4123
903.6268	9.4122
903.9013	9.4122
904.1758	9.4121
904.4504	9.412
904.7248	9.412
904.9994	9.4119
905.2739	9.4118
905.5484	9.4118
905.8214	9.3561
906.096	9.3561
906.3705	9.3559
906.645	9.3559
906.9195	9.3559
907.194	9.3558
907.4686	9.3557
907.7431	9.3557
908.0176	9.3556
908.2921	9.3555
908.5666	9.3555
908.8412	9.3554
909.1157	9.3553
909.3902	9.3553
909.6646	9.3552
909.9377	9.2995
910.2122	9.2995
910.4867	9.2993
910.7597	9.2438
911.0343	9.2438
911.3088	9.2437
911.5833	9.2436
911.8578	9.2436
912.1323	9.2435
912.4069	9.2434
912.6814	9.2434
912.9559	9.2433
913.2304	9.2432
913.5049	9.2432
913.7795	9.2431
914.054	9.2429
914.3285	9.2429
914.6015	9.1873
914.876	9.1873
915.1505	9.1872
915.4251	9.1871
915.6996	9.1871
915.9741	9.187
916.2486	9.1869
916.5231	9.1869
916.7976	9.1868
917.0722	9.1867
917.3467	9.1867
917.6197	9.1311
917.8942	9.131
918.1687	9.1309
918.4432	9.1309
918.7178	9.1308
918.9923	9.1307
919.2668	9.1307
919.5413	9.1306
919.8157	9.1305
920.0904	9.1305
920.3649	9.1304
920.6394	9.1303
920.9139	9.1303
921.1869	9.0746
921.4614	9.0746
921.736	9.0745
922.0105	9.0744
922.285	9.0744
922.5594	9.0743
922.834	9.0742
923.1086	9.0742
923.3831	9.0741
923.6576	9.074
923.9321	9.074
924.2051	9.0183
924.4796	9.0183
924.7541	9.0182
925.0287	9.0181
925.3032	9.0181
925.5777	9.018
925.8521	9.0179
926.1267	9.0179
926.4013	9.0178
926.6758	9.0177
926.9503	9.0177
927.2248	9.0176
927.4993	9.0176
927.7723	8.9619
928.0469	8.9619
928.3214	8.9618
928.5958	8.9617
928.8704	8.9617
929.1449	8.9616
929.4195	8.9615
929.694	8.9615
929.9685	8.9614
930.2429	8.9613
930.5175	8.9613
930.7921	8.9612
931.0666	8.9611
931.3396	8.9055
931.6141	8.9054
931.8885	8.9054
932.1631	8.9053
932.4376	8.9052
