time	diversity	m_div	M_div
670.291182569	0.02	0	1
670.391201158	0.02	0	1
670.491219747	0.02	0	1
670.591238336	0.02	0	1
670.691256925	0.02	0	1
670.791275513	0.02	0	1
670.891294102	0.02	0	1
670.991312691	0.02	0	1
671.09133128	0.02	0	1
671.191349869	0.02	0	1
671.291368458	0.02	0	1
671.391387046	0.02	0	1
671.491405635	0.02	0	1
671.591424224	0.02	0	1
671.691442813	0.02	0	1
671.791461402	0.02	0	1
671.891479991	0.02	0	1
671.991498579	0.02	0	1
672.091517168	0.02	0	1
672.191535757	0.02	0	1
672.291554346	0.02	0	1
672.391572935	0.02	0	1
672.491591524	0.02	0	1
672.591610112	0.02	0	1
672.691628701	0.02	0	1
672.79164729	0.02	0	1
672.891665879	0.02	0	1
672.991684468	0.02	0	1
673.091703057	0.02	0	1
673.191721645	0.02	0	1
673.291740234	0.02	0	1
673.391758823	0.02	0	1
673.491777412	0.02	0	1
673.591796001	0.02	0	1
673.69181459	0.02	0	1
673.791833179	0.02	0	1
673.891851767	0.02	0	1
673.991870356	0.02	0	1
674.091888945	0.02	0	1
674.191907534	0.02	0	1
674.291926123	0.02	0	1
674.391944712	0.02	0	1
674.4919633	0.02	0	1
674.591981889	0.02	0	1
674.692000478	0.02	0	1
674.792019067	0.02	0	1
674.892037656	0.02	0	1
674.992056245	0.02	0	1
675.092074833	0.02	0	1
675.192093422	0.02	0	1
675.292112011	0.02	0	1
675.3921306	0.02	0	1
675.492149189	0.02	0	1
675.592167778	0.02	0	1
675.692186366	0.02	0	1
675.792204955	0.02	0	1
675.892223544	0.02	0	1
675.992242133	0.02	0	1
676.092260722	0.02	0	1
676.192279311	0.02	0	1
676.292297899	0.02	0	1
676.392316488	0.02	0	1
676.492335077	0.02	0	1
676.592353666	0.02	0	1
676.692372255	0.02	0	1
676.792390844	0.02	0	1
676.892409433	0.02	0	1
676.992428021	0.02	0	1
677.09244661	0.02	0	1
677.192465199	0.02	0	1
677.292483788	0.02	0	1
677.392502377	0.02	0	1
677.492520966	0.02	0	1
677.592539554	0.02	0	1
677.692558143	0.02	0	1
677.792576732	0.02	0	1
677.892595321	0.02	0	1
677.99261391	0.02	0	1
678.092632499	0.02	0	1
678.192651087	0.02	0	1
678.292669676	0.02	0	1
678.392688265	0.02	0	1
678.492706854	0.02	0	1
678.592725443	0.02	0	1
678.692744032	0.02	0	1
678.79276262	0.02	0	1
678.892781209	0.02	0	1
678.992799798	0.02	0	1
679.092818387	0.02	0	1
679.192836976	0.02	0	1
679.292855565	0.02	0	1
679.392874153	0.02	0	1
679.492892742	0.02	0	1
679.592911331	0.02	0	1
679.69292992	0.02	0	1
679.792948509	0.02	0	1
679.892967098	0.02	0	1
679.992985687	0.02	0	1
680.093004275	0.02	0	1
680.193022864	0.02	0	1
680.293041453	0.02	0	1
680.393060042	0.02	0	1
680.493078631	0.02	0	1
680.59309722	0.02	0	1
680.693115808	0.02	0	1
680.793134397	0.02	0	1
680.893152986	0.02	0	1
680.993171575	0.02	0	1
681.093190164	0.02	0	1
681.193208753	0.02	0	1
681.293227341	0.02	0	1
681.39324593	0.02	0	1
681.493264519	0.02	0	1
681.593283108	0.02	0	1
681.693301697	0.02	0	1
681.793320286	0.02	0	1
681.893338874	0.02	0	1
681.993357463	0.02	0	1
682.093376052	0.02	0	1
682.193394641	0.02	0	1
682.29341323	0.02	0	1
682.393431819	0.02	0	1
682.493450407	0.02	0	1
682.593468996	0.02	0	1
682.693487585	0.02	0	1
682.793506174	0.02	0	1
682.893524763	0.02	0	1
682.993543352	0.02	0	1
683.093561941	0.02	0	1
683.193580529	0.02	0	1
683.293599118	0.02	0	1
683.393617707	0.02	0	1
683.493636296	0.02	0	1
683.593654885	0.02	0	1
683.693673474	0.02	0	1
683.793692062	0.02	0	1
683.893710651	0.01	0	1
683.99372924	0.01	0	1
684.093747829	0.01	0	1
684.193766418	0.01	0	1
684.293785007	0.01	0	1
684.393803595	0.01	0	1
684.493822184	0.01	0	1
684.593840773	0.01	0	1
684.693859362	0.01	0	1
684.793877951	0.01	0	1
684.89389654	0.01	0	1
684.993915128	0.01	0	1
685.093933717	0.01	0	1
685.193952306	0.01	0	1
685.293970895	0.01	0	1
685.393989484	0.01	0	1
685.494008073	0.01	0	1
685.594026661	0.01	0	1
685.69404525	0.01	0	1
685.794063839	0.01	0	1
685.894082428	0.01	0	1
685.994101017	0.01	0	1
686.094119606	0.01	0	1
686.194138195	0.01	0	1
686.294156783	0.01	0	1
686.394175372	0.01	0	1
